"gene","combinedPval","adjustedPval","pred","truth"
"gene562",0.117757913827436,1,0,0
"gene563",0.810847818476816,1,0,0
"gene564",0.261171855589167,1,0,0
"gene565",0.500690038308699,1,0,0
"gene566",0.366528415960288,1,0,0
"gene567",0.0915448437975751,1,0,0
"gene568",0.772242171168991,1,0,0
"gene569",0.298899600793818,1,0,0
"gene570",0.347232747028201,1,0,0
"gene571",0.699400471195359,1,0,0
"gene572",0.284098290456763,1,0,0
"gene573",0.433739319648254,1,0,0
"gene574",0.215775278706407,1,0,0
"gene575",0.212033927085918,1,0,0
"gene576",0.433226665604858,1,0,0
"gene577",0.333917790533588,1,0,0
"gene578",0.21237923572353,1,0,0
"gene579",0.640663887589681,1,0,0
"gene580",0.0824606407702462,1,0,0
"gene582",0.517684306074378,1,0,0
"gene583",0.608628303863031,1,0,0
"gene584",0.907795607451092,1,0,0
"gene585",0.453215038339614,1,0,0
"gene586",0.702311552604551,1,0,0
"gene587",0.368585876798564,1,0,0
"gene588",0.389340573853201,1,0,0
"gene589",0.70935327474115,1,0,0
"gene590",0.812424879288308,1,0,0
"gene591",0.868458003210439,1,0,0
"gene592",0.366350479363357,1,0,0
"gene593",0.0632263715718456,1,0,0
"gene594",0.484262058819198,1,0,0
"gene595",0.16547955293492,1,0,0
"gene596",0.975645041938856,1,0,0
"gene597",0.916448323195952,1,0,0
"gene598",0.875400146931624,1,0,0
"gene599",0.796397301601315,1,0,0
"gene600",0.880320849642759,1,0,0
"gene601",0.791003021656493,1,0,0
"gene602",0.100038178741407,1,0,0
"gene603",0.178253042424904,1,0,0
"gene604",0.654012403448825,1,0,0
"gene605",0.762883346933272,1,0,0
"gene606",0.535594564786489,1,0,0
"gene607",0.0847586516324386,1,0,0
"gene608",0.0668888932744243,1,0,0
"gene609",0.16881363860216,1,0,0
"gene610",0.923656522225717,1,0,0
"gene611",0.116016681147196,1,0,0
"gene612",0.911806084668237,1,0,0
"gene613",0.278197109657298,1,0,0
"gene614",0.537982431989066,1,0,0
"gene615",0.947204335463754,1,0,0
"gene616",0.544465295895276,1,0,0
"gene617",0.186040902473367,1,0,0
"gene618",0.765604290225964,1,0,0
"gene619",0.778469764603691,1,0,0
"gene621",0.719375156731787,1,0,0
"gene622",0.505288592030198,1,0,0
"gene623",0.829887535089767,1,0,0
"gene624",0.842926193792779,1,0,0
"gene625",0.186661713362716,1,0,0
"gene626",0.27013706876115,1,0,0
"gene627",0.362570859123196,1,0,0
"gene628",0.795335041066204,1,0,0
"gene629",0.75042554163331,1,0,0
"gene630",0.711260255299782,1,0,0
"gene631",0.385624381980332,1,0,0
"gene632",0.818135105916809,1,0,0
"gene633",0.135954056195508,1,0,0
"gene634",0.0529504133460141,1,0,0
"gene635",0.0963384550270669,1,0,0
"gene636",0.0818875014519048,1,0,0
"gene637",0.784059188313903,1,0,0
"gene638",0.849899978213343,1,0,0
"gene639",0.263842509772764,1,0,0
"gene640",0.372244302723763,1,0,0
"gene641",0.568213115780969,1,0,0
"gene642",0.914813787473527,1,0,0
"gene643",0.0627337626105799,1,0,0
"gene644",0.99886290899063,1,0,0
"gene645",0.508282777629783,1,0,0
"gene646",0.827010221236875,1,0,0
"gene647",0.547828571803415,1,0,0
"gene648",0.396558730129503,1,0,0
"gene649",0.247410996863641,1,0,0
"gene650",0.620867693819844,1,0,0
"gene651",0.385743452188657,1,0,0
"gene652",0.0736262283233631,1,0,0
"gene653",0.811804915389525,1,0,0
"gene654",0.981212262432008,1,0,0
"gene655",0.239134029053941,1,0,0
"gene656",0.0654108314621158,1,0,0
"gene657",0.902696432109682,1,0,0
"gene658",0.854890964726529,1,0,0
"gene659",0.659178120188491,1,0,0
"gene660",0.048476880974952,1,0,0
"gene661",0.600747395220447,1,0,0
"gene662",0.885531786257302,1,0,0
"gene663",0.109891681376327,1,0,0
"gene664",0.332517641105902,1,0,0
"gene665",0.855761762363048,1,0,0
"gene666",0.365751720097348,1,0,0
"gene667",0.0793445737190999,1,0,0
"gene668",0.145962971420109,1,0,0
"gene669",0.559397616555451,1,0,0
"gene670",0.405670677574787,1,0,0
"gene672",0.891026116452409,1,0,0
"gene674",0.40017889571197,1,0,0
"gene675",0.234312446014753,1,0,0
"gene676",0.0437316041413689,1,0,0
"gene677",0.283827139227609,1,0,0
"gene678",0.898166568103688,1,0,0
"gene679",0.0766481433831814,1,0,0
"gene680",0.0408298759017113,1,0,0
"gene681",0.584468582004233,1,0,0
"gene682",0.99428238668089,1,0,0
"gene683",0.635286018415737,1,0,0
"gene684",0.0478094765232064,1,0,0
"gene685",0.997781804350504,1,0,0
"gene686",0.884647192741268,1,0,0
"gene687",0.346844496613549,1,0,0
"gene688",0.64170834085796,1,0,0
"gene689",0.980638418596728,1,0,0
"gene690",0.982359091012522,1,0,0
"gene691",0.211444332660959,1,0,0
"gene692",0.189157170578905,1,0,0
"gene693",0.579326704048124,1,0,0
"gene694",0.112681686844491,1,0,0
"gene695",0.926972373875867,1,0,0
"gene696",0.500212468058856,1,0,0
"gene697",0.671967324570577,1,0,0
"gene698",0.864806174565355,1,0,0
"gene699",0.0439466259405559,1,0,0
"gene700",0.844225357719334,1,0,0
"gene701",0.135472460251161,1,0,0
"gene702",0.947168291932799,1,0,0
"gene704",0.362596332111993,1,0,0
"gene705",0.44816562812908,1,0,0
"gene706",0.832261525806336,1,0,0
"gene707",0.78006322398922,1,0,0
"gene708",0.58622028621409,1,0,0
