"gene","combinedPval","adjustedPval","pred","truth"
"gene576",0.0583326676754043,1,0,0
"gene577",0.117104542910329,1,0,0
"gene578",0.87915342014787,1,0,0
"gene579",0.814921534981906,1,0,0
"gene580",0.495047039984267,1,0,0
"gene581",0.979102704577342,1,0,0
"gene582",0.75228768071712,1,0,0
"gene583",0.890644279332061,1,0,0
"gene584",0.657662203419717,1,0,0
"gene585",0.380001710701809,1,0,0
"gene586",0.0468030464440607,1,0,0
"gene587",0.951216271010863,1,0,0
"gene588",0.985227690073688,1,0,0
"gene589",0.476126544970079,1,0,0
"gene590",0.313782315259043,1,0,0
"gene591",0.669793092636255,1,0,0
"gene592",0.601497713710524,1,0,0
"gene593",0.264350947551298,1,0,0
"gene594",0.0931243582313592,1,0,0
"gene595",0.543473868588074,1,0,0
"gene596",0.149085728995971,1,0,0
"gene597",0.439149991087055,1,0,0
"gene598",0.0267122542428189,1,0,0
"gene599",0.677836642411837,1,0,0
"gene600",0.552686465913743,1,0,0
"gene601",0.246584786046228,1,0,0
"gene602",0.989945786468351,1,0,0
"gene603",0.613300663010153,1,0,0
"gene604",0.0260135056935886,1,0,0
"gene605",0.380621018611292,1,0,0
"gene608",0.450819140798808,1,0,0
"gene609",0.608913169764559,1,0,0
"gene610",0.072082873028586,1,0,0
"gene611",0.910594066016631,1,0,0
"gene612",0.920226766695892,1,0,0
"gene613",0.29225234634765,1,0,0
"gene614",0.387018332342378,1,0,0
"gene615",0.944463690076757,1,0,0
"gene616",0.323687019023423,1,0,0
"gene617",0.0560128843473475,1,0,0
"gene618",0.790459885568979,1,0,0
"gene619",0.843077256169611,1,0,0
"gene620",0.505825061848597,1,0,0
"gene621",0.696271581800903,1,0,0
"gene622",0.632930042879388,1,0,0
"gene623",0.434470619620908,1,0,0
"gene624",0.91715546069621,1,0,0
"gene625",0.596370829817548,1,0,0
"gene626",0.655241612110798,1,0,0
"gene627",0.961451464964649,1,0,0
"gene628",0.943962340674567,1,0,0
"gene629",0.38282838094094,1,0,0
"gene630",0.398971493568412,1,0,0
"gene631",0.288996616827397,1,0,0
"gene632",0.954356106982617,1,0,0
"gene633",0.559974600235307,1,0,0
"gene634",0.0760468460000487,1,0,0
"gene635",0.95986024147418,1,0,0
"gene636",0.392542922977909,1,0,0
"gene637",0.249279078671611,1,0,0
"gene638",0.267668970540177,1,0,0
"gene639",0.915421519991221,1,0,0
"gene640",0.699173751705207,1,0,0
"gene641",0.33436486301917,1,0,0
"gene642",0.0431214569136193,1,0,0
"gene643",0.58363435774329,1,0,0
"gene644",0.743852805172986,1,0,0
"gene645",0.939380075065638,1,0,0
"gene646",0.184775630249586,1,0,0
"gene647",0.668543851417545,1,0,0
"gene648",0.372206275513719,1,0,0
"gene649",0.728733689936865,1,0,0
"gene650",0.392223365670086,1,0,0
"gene651",0.95467048021814,1,0,0
"gene652",0.708372417119255,1,0,0
"gene653",0.328135621040769,1,0,0
"gene654",0.994519734014652,1,0,0
"gene655",0.484745643869075,1,0,0
"gene656",0.290052009008989,1,0,0
"gene657",0.465219880908239,1,0,0
"gene658",0.44759206127587,1,0,0
"gene659",0.0995357764836782,1,0,0
"gene660",0.36438699890356,1,0,0
"gene661",0.700866738634005,1,0,0
"gene662",0.739494573057816,1,0,0
"gene663",0.653086839335023,1,0,0
"gene664",0.3467835050955,1,0,0
"gene665",0.177961918299245,1,0,0
"gene666",0.507624180911969,1,0,0
"gene667",0.442295949800077,1,0,0
"gene668",0.393428827207391,1,0,0
"gene669",0.973045429804562,1,0,0
"gene670",0.158239768469025,1,0,0
"gene671",0.853813017531944,1,0,0
"gene672",0.301200724783488,1,0,0
"gene673",0.327667839172671,1,0,0
"gene674",0.505585780422215,1,0,0
"gene675",0.292218346048315,1,0,0
"gene676",0.572341109482524,1,0,0
"gene677",0.739811362714433,1,0,0
"gene678",0.924497434259805,1,0,0
"gene679",0.342392025912038,1,0,0
"gene680",0.108721830156688,1,0,0
"gene681",0.700394104818612,1,0,0
"gene682",0.439278382767112,1,0,0
"gene683",0.854783159314356,1,0,0
"gene684",0.322616292674096,1,0,0
"gene685",0.9041027204234,1,0,0
"gene686",0.422575255078737,1,0,0
"gene687",0.824212941646255,1,0,0
"gene688",0.828377158450565,1,0,0
"gene689",0.920897899475508,1,0,0
