"Entrez Gene ID","Gene symbol","Gene description","Number of enriched GO terms"
226896,"Tfap2d","transcription factor AP-2, delta [Source:MGI Symbol;Acc:MGI:2153466]",3
76281,"Tax1bp3","Tax1 (human T cell leukemia virus type I) binding protein 3 [Source:MGI Symbol;Acc:MGI:1923531]",4
233406,"Prc1","protein regulator of cytokinesis 1 [Source:MGI Symbol;Acc:MGI:1858961]",2
240690,"St18","suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]",1
109594,"Lmo1","LIM domain only 1 [Source:MGI Symbol;Acc:MGI:102812]",1
12797,"Cnn1","calponin 1 [Source:MGI Symbol;Acc:MGI:104979]",1
211578,"Mrgprd","MAS-related GPR, member D [Source:MGI Symbol;Acc:MGI:3033142]",12
27140,"Tlx3","T cell leukemia, homeobox 3 [Source:MGI Symbol;Acc:MGI:1351209]",7
21955,"Tnnt1","troponin T1, skeletal, slow [Source:MGI Symbol;Acc:MGI:1333868]",5
243616,"Slc6a11","solute carrier family 6 (neurotransmitter transporter, GABA), member 11 [Source:MGI Symbol;Acc:MGI:95630]",15
72160,"Tmem163","transmembrane protein 163 [Source:MGI Symbol;Acc:MGI:1919410]",9
170930,"Sumo2","small ubiquitin-like modifier 2 [Source:MGI Symbol;Acc:MGI:2158813]",3
20088,"Rps24","ribosomal protein S24 [Source:MGI Symbol;Acc:MGI:98147]",2
21413,"Tcf4","transcription factor 4 [Source:MGI Symbol;Acc:MGI:98506]",13
13390,"Dlx1","distal-less homeobox 1 [Source:MGI Symbol;Acc:MGI:94901]",15
13392,"Dlx2","distal-less homeobox 2 [Source:MGI Symbol;Acc:MGI:94902]",13
56089,"Ramp3","receptor (calcitonin) activity modifying protein 3 [Source:MGI Symbol;Acc:MGI:1860292]",16
381489,"Rxfp1","relaxin/insulin-like family peptide receptor 1 [Source:MGI Symbol;Acc:MGI:2682211]",7
211468,"Kcnh8","potassium voltage-gated channel, subfamily H (eag-related), member 8 [Source:MGI Symbol;Acc:MGI:2445160]",9
72413,"Kcnmb2","potassium large conductance calcium-activated channel, subfamily M, beta member 2 [Source:MGI Symbol;Acc:MGI:1919663]",9
67473,"Slc47a1","solute carrier family 47, member 1 [Source:MGI Symbol;Acc:MGI:1914723]",9
