"Gene Set ID","Gene Set Name","# Genes in Gene Set (K)","Description","# Genes in Overlap (k)","k/K","p-value","FDR q-value"
57,"GOCC_DISTAL_AXON",438,"That part of an axon close to and including the growth cone or the axon terminus. [GOC:aruk, GOC:bc, PMID:17202468]",27,0.0616,1.15e-17,2.16e-15
58,"GOBP_TUBE_DEVELOPMENT",1285,"The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts. [PMID:12526790]",43,0.0335,1.94e-17,3.6e-15
59,"GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT",881,"The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom. [GOC:dos, GOC:vw]",36,0.0409,2.1e-17,3.82e-15
60,"GOBP_REGULATION_OF_BEHAVIOR",124,"Any process that modulates the frequency, rate or extent of behavior, the internally coordinated responses (actions or inactions) of whole living organisms (individuals or groups) to internal or external stimuli. [GOC:go_curators, GOC:pr]",17,0.1371,2.33e-17,4.17e-15
61,"GOBP_LOCOMOTION",1356,"Self-propelled movement of a cell or organism from one location to another. [GOC:dgh]",44,0.0324,2.45e-17,4.32e-15
62,"GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",204,"A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation of adenylyl cyclase activity which results in an increase in the intracellular concentration of cyclic AMP (cAMP). This pathway is negatively regulated by phosphodiesterase, which cleaves cAMP and terminates the signaling. [GOC:dph, GOC:mah, GOC:signaling, GOC:tb, ISBN:0815316194]",20,0.098,2.88e-17,4.99e-15
63,"GOBP_SIGNAL_RELEASE",638,"The process in which a signal is secreted or discharged into the extracellular medium from a cellular source. [GOC:mtg_signal]",31,0.0486,3.45e-17,5.88e-15
64,"GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION",1245,"Any process that activates or increases the frequency, rate or extent of intracellular signal transduction. [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",42,0.0337,3.57e-17,5.99e-15
65,"GOBP_SKELETAL_SYSTEM_DEVELOPMENT",594,"The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton). [GOC:dph, GOC:jid, GOC:tb]",30,0.0505,4.01e-17,6.63e-15
66,"GOBP_REGULATION_OF_BLOOD_PRESSURE",239,"Any process that modulates the force with which blood travels through the circulatory system. The process is controlled by a balance of processes that increase pressure and decrease pressure. [GOC:dph, GOC:mtg_cardio, ISBN:0721643949]",21,0.0879,4.34e-17,7.03e-15
67,"GOCC_CELL_SURFACE",1131,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",40,0.0354,4.38e-17,7.03e-15
68,"GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE",70,"Any process in which the force of blood traveling through the circulatory system is decreased. [GOC:go_curators, GOC:mtg_cardio]",14,0.2,6.18e-17,9.76e-15
69,"GOBP_CELL_ADHESION",1536,"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules. [GOC:hb, GOC:pf]",46,0.0299,8.92e-17,1.39e-14
70,"GOBP_NEURON_DEVELOPMENT",1418,"The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. [GOC:dph]",44,0.031,1.25e-16,1.91e-14
71,"GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY",1292,"A molecular function regulator that activates or increases the activity of its target via non-covalent binding that does not result in covalent modification to the target. [GOC:curators]",42,0.0325,1.31e-16,1.98e-14
72,"GOBP_POSITIVE_REGULATION_OF_TRANSPORT",1067,"Any process that activates or increases the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]",38,0.0356,2.27e-16,3.38e-14
73,"GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",739,"Enables the transfer of an ion from one side of a membrane to the other. [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]",32,0.0433,2.75e-16,4.05e-14
74,"GOBP_AMINO_ACID_TRANSPORT",199,"The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]",19,0.0955,2.98e-16,4.32e-14
75,"GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION",1082,"Any process that activates or increases the rate or extent of cell proliferation. [GOC:go_curators]",38,0.0351,3.55e-16,5.09e-14
