
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	322
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
13841	Epha7	Eph receptor A7 [Source:MGI Symbol;Acc:MGI:95276]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT				GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING		GOCC_CELL_BODY		GOMF_SIGNALING_RECEPTOR_BINDING		GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS								GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT			GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY					GOCC_SYNAPTIC_MEMBRANE			GOBP_REGULATION_OF_CELL_DIFFERENTIATION		GOCC_PLASMA_MEMBRANE_REGION	GOBP_INTRACELLULAR_SIGNALING_CASSETTE				GOBP_HEAD_DEVELOPMENT			GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOCC_POSTSYNAPTIC_MEMBRANE				GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS			GOBP_TUBE_DEVELOPMENT			GOBP_LOCOMOTION								GOBP_CELL_ADHESION	GOBP_NEURON_DEVELOPMENT	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY									GOCC_POSTSYNAPSE								GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION					GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY				GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			GOBP_DEVELOPMENTAL_GROWTH
110304	Glra3	glycine receptor, alpha 3 subunit [Source:MGI Symbol;Acc:MGI:95749]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT				GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING		GOCC_CELL_BODY				GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT							GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE					GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT												GOCC_POSTSYNAPTIC_MEMBRANE																						GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOCC_POSTSYNAPSE											GOCC_PRESYNAPTIC_MEMBRANE				GOCC_GABA_ERGIC_SYNAPSE	GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX			GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
12802	Cnr2	cannabinoid receptor 2 [Source:MGI Symbol;Acc:MGI:104650]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT				GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING		GOCC_CELL_BODY				GOCC_DENDRITIC_TREE							GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOBP_REGULATION_OF_MEMBRANE_POTENTIAL		GOBP_CELL_MIGRATION				GOCC_SYNAPTIC_MEMBRANE		GOBP_CELL_MOTILITY			GOCC_PLASMA_MEMBRANE_REGION														GOCC_POSTSYNAPTIC_MEMBRANE										GOBP_LOCOMOTION	GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY																		GOCC_POSTSYNAPSE								GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION												
213788	Chrm5	cholinergic receptor, muscarinic 5 [Source:MGI Symbol;Acc:MGI:109248]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT										GOCC_DENDRITIC_TREE					GOBP_MONOATOMIC_ION_TRANSPORT		GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY					GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE				GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT												GOCC_POSTSYNAPTIC_MEMBRANE																						GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOCC_POSTSYNAPSE					GOBP_RESPONSE_TO_NITROGEN_COMPOUND														GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
18429	Oxt	oxytocin [Source:MGI Symbol;Acc:MGI:97453]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING				GOCC_PRESYNAPSE		GOBP_REGULATION_OF_SYSTEM_PROCESS		GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_COGNITION			GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT		GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY		GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS				GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION				GOBP_EXPORT_FROM_CELL	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GOBP_CIRCULATORY_SYSTEM_PROCESS		GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT		GOBP_REGULATION_OF_SECRETION		GOBP_FEEDING_BEHAVIOR							GOBP_MUSCLE_SYSTEM_PROCESS	GOCC_DISTAL_AXON						GOBP_SIGNAL_RELEASE			GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE			GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT					GOMF_HORMONE_ACTIVITY		GOCC_SECRETORY_VESICLE					GOBP_AMINE_TRANSPORT	GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_HEART_DEVELOPMENT			GOBP_MUSCLE_CONTRACTION										
18166	Npy1r	neuropeptide Y receptor Y1 [Source:MGI Symbol;Acc:MGI:104963]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR		GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT					GOCC_PRESYNAPSE	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_REGULATION_OF_SYSTEM_PROCESS							GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT							GOCC_SYNAPTIC_MEMBRANE				GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION			GOBP_EXPORT_FROM_CELL			GOBP_CIRCULATORY_SYSTEM_PROCESS				GOBP_REGULATION_OF_SECRETION		GOBP_FEEDING_BEHAVIOR	GOMF_PEPTIDE_RECEPTOR_ACTIVITY				GOBP_ANIMAL_ORGAN_MORPHOGENESIS		GOBP_MUSCLE_SYSTEM_PROCESS							GOBP_SIGNAL_RELEASE			GOBP_REGULATION_OF_BLOOD_PRESSURE										GOBP_REGULATION_OF_TUBE_SIZE			GOCC_SECRETORY_VESICLE						GOBP_RESPONSE_TO_NITROGEN_COMPOUND		GOBP_HEART_DEVELOPMENT	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION	GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION	GOCC_PRESYNAPTIC_MEMBRANE						GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			GOBP_DEVELOPMENTAL_GROWTH
72961	Slc17a7	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7 [Source:MGI Symbol;Acc:MGI:1920211]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR		GOCC_AXON				GOBP_REGULATION_OF_TRANSPORT					GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT			GOBP_COGNITION				GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT									GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT														GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT					GOCC_SECRETORY_VESICLE	GOCC_POSTSYNAPSE																GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX			GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
20508	Slc18a3	solute carrier family 18 (vesicular monoamine), member 3 [Source:MGI Symbol;Acc:MGI:1101061]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION				GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING			GOBP_REGULATION_OF_TRANSPORT					GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT			GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION			GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL						GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION										GOCC_DISTAL_AXON		GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT				GOBP_SIGNAL_RELEASE									GOBP_POSITIVE_REGULATION_OF_TRANSPORT	GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY						GOCC_SECRETORY_VESICLE					GOBP_AMINE_TRANSPORT																
235415	Cplx3	complexin 3 [Source:MGI Symbol;Acc:MGI:2384571]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION				GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING			GOBP_REGULATION_OF_TRANSPORT					GOCC_PRESYNAPSE																GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION			GOBP_EXPORT_FROM_CELL							GOBP_REGULATION_OF_SECRETION										GOCC_DISTAL_AXON						GOBP_SIGNAL_RELEASE																GOCC_SECRETORY_VESICLE												GOCC_PRESYNAPTIC_MEMBRANE									
140559	Igsf8	immunoglobulin superfamily, member 8 [Source:MGI Symbol;Acc:MGI:2154090]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION				GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING								GOCC_PRESYNAPSE												GOBP_CELL_MIGRATION				GOCC_SYNAPTIC_MEMBRANE		GOBP_CELL_MOTILITY			GOCC_PLASMA_MEMBRANE_REGION																								GOBP_LOCOMOTION																	GOBP_REGULATION_OF_LOCOMOTION													GOCC_PRESYNAPTIC_MEMBRANE									
140919	Slc17a6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6 [Source:MGI Symbol;Acc:MGI:2156052]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION				GOCC_AXON									GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT									GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT														GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT					GOCC_SECRETORY_VESICLE																	GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX				
21926	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING		GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_EXTRACELLULAR_SPACE		GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					GOBP_REGULATION_OF_SYSTEM_PROCESS		GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOBP_CELL_MIGRATION	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS		GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL			GOBP_CIRCULATORY_SYSTEM_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT		GOBP_REGULATION_OF_SECRETION	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS						GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS			GOBP_TUBE_DEVELOPMENT			GOBP_LOCOMOTION		GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_REGULATION_OF_BLOOD_PRESSURE	GOCC_CELL_SURFACE	GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE	GOBP_CELL_ADHESION		GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT		GOBP_AMINO_ACID_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOBP_REGULATION_OF_TUBE_SIZE		GOBP_REGULATION_OF_LOCOMOTION	GOCC_SECRETORY_VESICLE			GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS		GOBP_AMINE_TRANSPORT	GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION	GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM			GOBP_EPITHELIAL_CELL_PROLIFERATION	GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY				GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
54377	Cacng4	calcium channel, voltage-dependent, gamma subunit 4 [Source:MGI Symbol;Acc:MGI:1859167]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING		GOCC_SOMATODENDRITIC_COMPARTMENT				GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING		GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING							GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE				GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL						GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION				GOCC_POSTSYNAPTIC_MEMBRANE		GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT				GOBP_SIGNAL_RELEASE				GOCC_CELL_SURFACE					GOBP_POSITIVE_REGULATION_OF_TRANSPORT	GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOCC_POSTSYNAPSE	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT				GOBP_RESPONSE_TO_NITROGEN_COMPOUND											GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX				
13380	Dkk1	dickkopf WNT signaling pathway inhibitor 1 [Source:MGI Symbol;Acc:MGI:1329040]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING			GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE		GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING			GOBP_GENERATION_OF_NEURONS					GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_COGNITION	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT		GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY		GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS		GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION				GOBP_REGULATION_OF_CELL_DIFFERENTIATION			GOBP_INTRACELLULAR_SIGNALING_CASSETTE				GOBP_HEAD_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS						GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS									GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION						GOBP_NEURON_DEVELOPMENT												GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS					GOBP_HEART_DEVELOPMENT	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION					GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY							
110312	Pmch	pro-melanin-concentrating hormone [Source:MGI Symbol;Acc:MGI:97629]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING			GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE		GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOMF_SIGNALING_RECEPTOR_BINDING					GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_REGULATION_OF_SYSTEM_PROCESS									GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY														GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GOBP_CIRCULATORY_SYSTEM_PROCESS						GOBP_FEEDING_BEHAVIOR											GOBP_REGULATION_OF_BEHAVIOR						GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE			GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY						GOMF_HORMONE_ACTIVITY											GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION						GOBP_RHYTHMIC_PROCESS						
16590	Kit	KIT proto-oncogene receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:96677]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING			GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE		GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					GOBP_REGULATION_OF_SYSTEM_PROCESS		GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_COGNITION			GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CELL_MIGRATION			GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE		GOBP_EXPORT_FROM_CELL				GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT											GOBP_MUSCLE_SYSTEM_PROCESS		GOBP_TUBE_DEVELOPMENT			GOBP_LOCOMOTION			GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION			GOCC_CELL_SURFACE		GOBP_CELL_ADHESION						GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_REGULATION_OF_LOCOMOTION	GOCC_SECRETORY_VESICLE							GOBP_RESPONSE_TO_ABIOTIC_STIMULUS				GOBP_MUSCLE_CONTRACTION		GOBP_EPITHELIAL_CELL_PROLIFERATION	GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY							
12426	Cckbr	cholecystokinin B receptor [Source:MGI Symbol;Acc:MGI:99479]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING			GOBP_BEHAVIOR			GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY																			GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE		GOBP_EXPORT_FROM_CELL	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING						GOBP_REGULATION_OF_SECRETION			GOMF_PEPTIDE_RECEPTOR_ACTIVITY								GOBP_TUBE_DEVELOPMENT		GOBP_REGULATION_OF_BEHAVIOR			GOBP_SIGNAL_RELEASE									GOBP_POSITIVE_REGULATION_OF_TRANSPORT			GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION								GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS											GOBP_RHYTHMIC_PROCESS						
11554	Adrb1	adrenergic receptor, beta 1 [Source:MGI Symbol;Acc:MGI:87937]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING			GOBP_BEHAVIOR			GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING						GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_COGNITION	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION				GOBP_REGULATION_OF_CELL_DIFFERENTIATION			GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT		GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GOBP_CIRCULATORY_SYSTEM_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_MONOATOMIC_CATION_TRANSPORT		GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_METAL_ION_TRANSPORT			GOBP_MUSCLE_SYSTEM_PROCESS			GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	GOBP_REGULATION_OF_BEHAVIOR		GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE				GOBP_POSITIVE_REGULATION_OF_TRANSPORT				GOBP_REGULATION_OF_TUBE_SIZE			GOCC_SECRETORY_VESICLE	GOCC_POSTSYNAPSE	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT		GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS			GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_HEART_DEVELOPMENT		GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION				GOBP_RHYTHMIC_PROCESS			GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE		GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	GOBP_DEVELOPMENTAL_GROWTH
