"gene","scbsp_pvalue","scbsp_pred"
"GBX1",0.416728224627473,0
"GBX2",0.597084492800904,0
"GCGR",0.899345732070026,0
"GCH1",0.858948145389677,0
"GCHFR",0.616355593602808,0
"GDF10",0.247555969752983,0
"GFAP",0.000182308441385115,1
"GFRA1",0.0207743146362996,1
"GFRA2",0.0350009958216212,1
"GFRA3",0.701121856240717,0
"GHRH",0.0619701304070379,0
"GHRHR",0.971329340720819,0
"GHSR",0.565352830194038,0
"GIPR",0.730106060852187,0
"GJA1",0.00624299021537289,1
"GJB1",0.646193072623754,0
"GJB2",0.6364636540579,0
"GKN3",0.495298808941858,0
"GLDC",0.411917634977719,0
"GLRA1",0.0943190249335958,0
"GLRA3",0.169942289051468,0
"GM5741",0.593818441145484,0
"GNA14",0.766705226691884,0
"GNB3",0.938621356290949,0
"GNG4",0.223335448456525,0
"GNG8",0.0560855447138119,0
"GNRH1",0.904274950812833,0
"GNRHR",0.891642213801622,0
"GPC3",0.846232941844181,0
"GPR101",0.110845509018968,0
"GPR119",0.89996449079461,0
"GPR139",0.326961947145109,0
"GPR17",0.566551403170456,0
"GPR34",0.248263561001245,0
"GPR50",0.683909270931746,0
"GPR83",0.905447387850319,0
"GPR88",0.506366965073489,0
"GPRASP2",6.07108809668189e-05,1
"GPSM1",0.00205810275277152,1
"GPSM3",0.251970037738602,0
"GPX2",0.640787283919956,0
"GPX3",0.0918848098666616,0
"GRIK1",0.0162003826871031,1
"GRIK3",0.193271074674934,0
"GRIN2C",0.673856550695125,0
"GRM1",0.0556452604934852,0
"GRM2",0.0742394343847874,0
"GRM3",0.0624918403861846,0
"GRM4",0.018868498545712,1
"GRM5",0.000947660523634597,1
"GRM6",0.716628596351073,0
"GRM7",0.000589259015718158,1
"GRM8",0.254115293293786,0
"GRP",0.226926761618796,0
"GRPR",0.561937182479211,0
"H2-AB1",0.319731060984891,0
"HAND1",0.882766305316851,0
"HAP1",1.7783967721674e-05,1
"HAPLN1",0.423636776371554,0
"HAPLN2",0.850617530647063,0
"HCRT",3.7513509286935e-05,1
"HCRTR1",0.340587990206736,0
"HCRTR2",0.747084462928667,0
"HDC",0.332289643343581,0
"HDHD3",0.118212922728302,0
"HHIP",0.510008432909923,0
"HIGD1B",0.75573267660396,0
"HOPX",0.101873609463009,0
"HOXA10",0.593038773783886,0
"HOXA5",0.723503506809661,0
"HOXA7",0.594225615669688,0
"HOXA9",0.717214080856347,0
"HOXB3",0.806563698083988,0
"HOXB5",0.679992293906708,0
"HOXB6",0.835878333173014,0
"HOXB7",0.986092955022395,0
"HOXB8",0.817430115716966,0
"HOXB9",0.815106498552794,0
"HOXC10",0.684288847057232,0
"HOXC4",0.836063728422257,0
"HOXC5",0.315562934987065,0
"HOXC8",0.588749190357044,0
"HOXC9",0.761178682415796,0
"HPCAL1",0.00611619998073887,1
"HPCAL4",0.000732649197744961,1
"HRH1",0.439091696912012,0
"HRH3",0.132470061356156,0
"HRH4",0.598428778492894,0
"HS3ST2",0.211493505560428,0
"HS3ST4",0.161434698668647,0
"HS6ST2",0.120687619051784,0
"HSPA1A",0.688185812054669,0
"HSPB7",0.620426747889592,0
"HTR1A",0.261426018818879,0
"HTR1B",0.111933832427276,0
"HTR1D",0.417952448574883,0
"HTR1F",0.250102745357902,0
"HTR2A",0.655495650938468,0
"HTR2B",0.929426754149379,0
"HTR2C",0.044300978333199,1
"HTR3A",0.560537758050301,0
"HTR3B",0.8697621219688,0
"HTR5A",0.110184330637573,0
"HTR5B",0.631324652257346,0
"HTRA1",0.00739622324248024,1
"IBSP",0.883204617348015,0
"ID2",0.49155083255647,0
"ID4",0.317530215414771,0
"IDO1",0.651297443743625,0
"IFITM1",0.361483799250701,0
"IGF2",0.155102994687596,0
"IGFBP2",0.0587988637305762,0
"IGFBP4",0.037574775660719,1
"IGFBP6",0.239919978143581,0
"IGFBPL1",0.903296532622589,0
"IGSF1",0.21280795269208,0
"IGSF8",0.000171097227146588,1
"IL1R1",0.358181232387975,0
"IL1RAPL2",0.334002900322689,0
"IL23A",0.700478950425437,0
"IL31RA",0.54830613521356,0
"IL33",0.202456014431626,0
"INHBA",0.41898974551955,0
"INMT",0.634474337227078,0
"INPP5J",0.172402493016906,0
"INSRR",0.948483495594179,0
"IRS4",0.133914643267875,0
"IRX2",0.622381936819734,0
"IRX4",0.695418616226895,0
"IRX6",0.243523176301655,0
"ISL1",0.777116266759054,0
"ISL2",0.908208287241434,0
"ISLR",0.573804388004745,0
"ITIH3",0.000161467865697373,1
"ITPR2",0.139624049847473,0
"IYD",0.567799297853674,0
"JUNB",0.457595972000024,0
"KCNAB1",0.194613214466808,0
"KCNAB3",0.155139165800813,0
"KCNC2",0.647477528179744,0
"KCNC3",0.21966612188733,0
"KCND3",0.124861139990806,0
"KCNG1",0.216893943939241,0
"KCNG4",0.894043828875238,0
"KCNH8",0.778379942662787,0
"KCNIP1",0.864568242272997,0
"KCNJ8",0.699461367421406,0
"KCNK3",0.5376126523156,0
"KCNMB1",0.941703809837038,0
"KCNMB2",0.805038799485846,0
"KCNS1",0.613595487753744,0
"KCTD12",0.0959071535217295,0
"KIF5B",0.103198252770913,0
"KISS1R",0.850807154075034,0
"KIT",0.575089175954999,0
"KITL",0.756043026968994,0
"KL",0.549901956824202,0
"KLHL1",0.00732334210131969,1
"KLHL14",0.484369883195874,0
"KLK6",0.353858228367368,0
"KRT12",0.454047222758944,0
"KRT15",0.959194289428783,0
"KRT17",0.62328600967808,0
"KRT19",0.872128389497943,0
"KRT27",0.662375337442451,0
"KRT73",0.760884784433533,0
"LAMP5",0.0768306058311757,0
"LANCL3",0.828537205016658,0
"LBP",0.795371054965333,0
"LBX1",0.951733222101432,0
"LCN2",0.962148431787435,0
"LEF1",0.0743514338232162,0
"LEFTY1",0.934780874412703,0
"LGI2",0.016598071254276,1
"LHX1",0.694553501763614,0
"LHX2",0.549319661677864,0
"LHX6",0.312626278666577,0
"LHX8",0.930799569599901,0
"LHX9",0.500011611470599,0
"LIMS2",0.202038868512261,0
"LINGO4",0.467438560266462,0
"LMCD1",0.522487395888245,0
"LMO1",0.0527039553340827,0
"LMO3",0.00190468909455543,1
"LMX1A",0.289956078694663,0
"LPAR3",0.834401999496502,0
"LPL",0.120064735273712,0
"LRG1",0.90212679223265,0
"LRPPRC",0.0509682124909976,0
