"gene","p0g","geosvg_pred","scbsp_pvalue","scbsp_pred","raw_zero_prop","category"
"RORB",0.0015,1,0.0168713084236749,1,0.912396873643074,"Both"
"ZBTB20",0.0015,1,0.0644356845000779,0,0.927702996092054,"GeoSVG-3D only"
"KCNMB1",0.002,1,0.941703809837038,0,0.997177594442032,"GeoSVG-3D only"
"RASL11A",0.005,1,0.71898442470911,0,0.993703864524533,"GeoSVG-3D only"
"MFSD2A",0.006,1,0.949052774098721,0,0.998263135041251,"GeoSVG-3D only"
"MKI67",0.006,1,0.673440724664607,0,0.992401215805471,"GeoSVG-3D only"
"NPFF",0.006,1,0.870429509939278,0,0.995549283543204,"GeoSVG-3D only"
"GLRA1",0.007,1,0.0943190249335958,0,0.940295267042987,"GeoSVG-3D only"
"TRPV1",0.007,1,0.645739178889349,0,0.993595310464611,"GeoSVG-3D only"
"PAX8",0.0095,1,0.920862775504245,0,0.996743378202345,"GeoSVG-3D only"
"CDH13",0.0105,1,0.0122903539057979,1,0.835757707338254,"Both"
"AFP",0.0115,1,0.97611286787894,0,0.999131567520625,"GeoSVG-3D only"
"GRIK1",0.012,1,0.0162003826871031,1,0.908271819366044,"Both"
"TCAP",0.0125,1,0.549170844902753,0,0.99174989144594,"GeoSVG-3D only"
"SEMA3A",0.0145,1,0.231756947942463,0,0.963960052105949,"GeoSVG-3D only"
"TACR1",0.015,1,0.648228440138131,0,0.990990013026487,"GeoSVG-3D only"
"MYOC",0.017,1,0.25273456567879,0,0.984476769431177,"GeoSVG-3D only"
"TAX1BP3",0.028,1,0.784599063759242,0,0.992835432045158,"GeoSVG-3D only"
"CLIC6",0.031,1,0.457248005427524,0,0.975141120277898,"GeoSVG-3D only"
"DKK1",0.032,1,0.911087506660685,0,0.997828918801563,"GeoSVG-3D only"
"FOXP2",0.0385,1,0.164221201838859,0,0.956686930091185,"GeoSVG-3D only"
"SPHKAP",0.0455,1,0.017599814685278,1,0.838797221016066,"Both"
"VWC2L",0.0485,1,0.112267146408256,0,0.953104646113765,"GeoSVG-3D only"
"MFAP4",0.0495,1,0.762804382341784,0,0.993052540165002,"GeoSVG-3D only"
"CLDN10",0.0505,1,0.901938755547858,0,0.996634824142423,"GeoSVG-3D only"
"CRIM1",0.0555,1,0.233826731823229,0,0.948219713417282,"GeoSVG-3D only"
"GPX2",0.0605,1,0.640787283919956,0,0.989253148067738,"GeoSVG-3D only"
"FBP2",0.063,1,0.889128078259832,0,0.996200607902736,"GeoSVG-3D only"
"NELL1",0.066,1,0.0111322671661912,1,0.868432479374729,"Both"
"CCN4",0.072,1,0.907407468795517,0,0.996634824142423,"GeoSVG-3D only"
"TEKT5",0.0745,1,0.0367016610808076,1,0.911962657403387,"Both"
"IYD",0.087,1,0.567799297853674,0,0.993703864524533,"GeoSVG-3D only"
