"method_1","method_2","category","gene"
"GeoSVG-3D","SPARK","Overlap","CPNE5"
"GeoSVG-3D","SPARK","Overlap","CRH"
"GeoSVG-3D","SPARK","Overlap","CSRP2"
"GeoSVG-3D","SPARK","Overlap","CUX2"
"GeoSVG-3D","SPARK","Overlap","DAPL1"
"GeoSVG-3D","SPARK","Overlap","DCN"
"GeoSVG-3D","SPARK","Overlap","DDIT4L"
"GeoSVG-3D","SPARK","Overlap","DGKK"
"GeoSVG-3D","SPARK","Overlap","DKK3"
"GeoSVG-3D","SPARK","Overlap","DLK1"
"GeoSVG-3D","SPARK","Overlap","DLX1"
"GeoSVG-3D","SPARK","Overlap","EBF3"
"GeoSVG-3D","SPARK","Overlap","ECEL1"
"GeoSVG-3D","SPARK","Overlap","ELFN1"
"GeoSVG-3D","SPARK","Overlap","EMID1"
